u, t, f(u), f(t)
9/127, 118/109, 1971919/2048383, 2297557/1295029
9/128, 119/110, 252505/262144, 293824/166375
9/130, 121/112, 264824/274625, 307385/175616
9/131, 122/113, 2169035/2248091, 2514545/1442897
9/133, 124/115, 2272285/2352637, 2627947/1520875
9/134, 125/116, 290638/300763, 335737/195112
9/136, 127/118, 304145/314432, 350540/205379
9/137, 128/119, 2488409/2571353, 2864807/1685159
9/139, 130/121, 2601379/2685619, 2988361/1771561
9/140, 131/122, 332389/343000, 381430/226981
9/142, 133/124, 347138/357911, 397529/238328
9/143, 134/125, 2837375/2924207, 3245957/1953125
9/145, 136/127, 2960497/3048625, 3380095/2048383
9/146, 32/73, 377920/389017, 53145/389017
9/146, 41/9, 377920/389017, 431065/729
9/146, 137/128, 377920/389017, 431065/262144
9/148, 139/130, 393965/405224, 448514/274625
9/149, 140/131, 3217229/3307949, 3659291/2248091
9/151, 142/133, 3350935/3442951, 3804445/2352637
9/152, 143/134, 427393/438976, 484804/300763
9/154, 145/136, 444788/456533, 503657/314432
9/155, 146/137, 3629267/3723875, 4106105/2571353
9/157, 148/139, 3773989/3869893, 4262707/2685619
9/158, 149/140, 480970/493039, 542809/343000
9/160, 151/142, 499769/512000, 563120/357911
9/161, 152/143, 4074785/4173281, 4587695/2924207
9/163, 154/145, 4230955/4330747, 4756177/3048625
9/164, 155/146, 538813/551368, 605242/389017
9/166, 157/148, 559070/571787, 627065/405224
9/167, 158/149, 4555079/4657463, 5105357/3307949
9/169, 160/151, 4723129/4826809, 5286151/3442951
9/170, 161/152, 601084/614125, 672265/438976
9/172, 163/154, 622853/636056, 695654/456533
9/173, 164/155, 5071445/5177717, 5660387/3723875
9/175, 166/157, 5251807/5359375, 5853925/3869893
9/176, 167/158, 667945/681472, 744040/493039
9/178, 169/160, 691280/704969, 769049/512000
9/179, 170/161, 5625179/5735339, 6254081/4173281
9/181, 172/163, 5818285/5929741, 6460795/4330747
9/182, 173/164, 739558/753571, 820729/551368
9/184, 175/166, 764513/778688, 847412/571787
9/185, 176/167, 6217577/6331625, 6887735/4657463
9/187, 178/169, 6423859/6539203, 7108057/4826809
9/188, 179/170, 816085/830584, 902494/614125
9/190, 181/172, 842714/857375, 930905/636056
9/191, 182/173, 6849935/6967871, 7562645/5177717
9/193, 184/175, 7069825/7189057, 7797007/5359375
9/194, 185/176, 897688/912673, 989497/681472
9/196, 187/178, 926045/941192, 1019690/704969
9/197, 188/179, 7523549/7645373, 8280107/5735339
9/199, 190/181, 7757479/7880599, 8528941/5929741
10/11, 12/25, 531/1331, 649/15625
10/11, 13, 531/1331, 16225
10/11, 54/49, 531/1331, 234289/117649
10/19, 15/19, -341/6859, -341/6859
10/19, 25/31, -341/6859, -209/29791
10/19, 41/81, -341/6859, -6479/531441
10/19, 47/62, -341/6859, -3344/29791
10/21, 11, 461/9261, 9681
10/23, 13/3, 1767/12167, 13547/27
10/27, 17/7, 6083/19683, 23463/343
10/29, 19/9, 9189/24389, 29609/729
10/31, 21/11, 12991/29791, 36611/1331
10/33, 23/13, 17537/35937, 44517/2197
10/37, 27/17, 29053/50653, 63233/4913
10/39, 29/19, 36119/59319, 74139/6859
10/41, 31/21, 44121/68921, 86141/9261
10/43, 33/23, 53107/79507, 99287/12167
10/47, 37/27, 74223/103823, 129203/19683
10/49, 39/29, 86449/117649, 146069/24389
10/51, 41/31, 99851/132651, 164271/29791
10/53, 43/33, 114477/148877, 183857/35937
10/57, 47/37, 147593/185193, 227373/50653
10/59, 49/39, 166179/205379, 251399/59319
10/61, 51/41, 186181/226981, 277001/68921
10/63, 53/43, 207647/250047, 304227/79507
10/67, 57/47, 255163/300763, 363743/103823
10/69, 59/49, 281309/328509, 396129/117649
10/71, 61/51, 309111/357911, 430331/132651
10/73, 63/53, 338617/389017, 466397/148877
10/77, 67/57, 402933/456533, 544313/185193
10/79, 69/59, 437839/493039, 586259/205379
10/81, 71/61, 474641/531441, 630261/226981
10/83, 73/63, 513387/571787, 676367/250047
10/87, 77/67, 596903/658503, 775083/300763
10/89, 79/69, 641769/704969, 827789/328509
10/91, 81/71, 688771/753571, 882791/357911
10/91, 90/91, 688771/753571, 688771/753571
10/91, 100/109, 688771/753571, 575029/1295029
10/93, 83/73, 737957/804357, 940137/389017
10/97, 87/77, 843073/912673, 1062053/456533
10/99, 89/79, 899099/970299, 1126719/493039
10/101, 91/81, 957501/1030301, 1193921/531441
10/103, 93/83, 1018327/1092727, 1263707/571787
10/107, 97/87, 1147443/1225043, 1411223/658503
10/109, 99/89, 1215829/1295029, 1489049/704969
10/111, 101/91, 1286831/1367631, 1569651/753571
10/113, 103/93, 1360497/1442897, 1653077/804357
10/117, 107/97, 1516013/1601613, 1828593/912673
10/119, 109/99, 1597959/1685159, 1920779/970299
10/121, 111/101, 1682761/1771561, 2015981/1030301
10/123, 113/103, 1770467/1860867, 2114247/1092727
10/127, 117/107, 1954783/2048383, 2320163/1225043
10/129, 119/109, 2051489/2146689, 2427909/1295029
10/131, 121/111, 2151291/2248091, 2538911/1367631
10/133, 123/113, 2254237/2352637, 2653217/1442897
10/137, 127/117, 2469753/2571353, 2891933/1601613
10/139, 129/119, 2582419/2685619, 3016439/1685159
10/141, 131/121, 2698421/2803221, 3144441/1771561
10/143, 133/123, 2817807/2924207, 3275987/1860867
10/147, 137/127, 3066923/3176523, 3549903/2048383
10/149, 139/129, 3196749/3307949, 3692369/2146689
10/151, 141/131, 3330151/3442951, 3838571/2248091
10/153, 143/133, 3467177/3581577, 3988557/2352637
10/157, 147/137, 3752293/3869893, 4300073/2571353
10/159, 149/139, 3900479/4019679, 4461699/2685619
10/161, 151/141, 4052481/4173281, 4627301/2803221
10/163, 153/143, 4208347/4330747, 4796927/2924207
10/167, 157/147, 4531863/4657463, 5148443/3176523
10/169, 159/149, 4699609/4826809, 5330429/3307949
10/171, 161/151, 4871411/5000211, 5516631/3442951
10/173, 163/153, 5047317/5177717, 5707097/3581577
10/177, 167/157, 5411633/5545233, 6101013/3869893
10/179, 169/159, 5600139/5735339, 6304559/4019679
10/181, 171/161, 5792941/5929741, 6512561/4173281
10/183, 173/163, 5990087/6128487, 6725067/4330747
10/187, 177/167, 6397603/6539203, 7163783/4657463
10/189, 179/169, 6608069/6751269, 7390089/4826809
10/191, 181/171, 6823071/6967871, 7621091/5000211
10/193, 183/173, 7042657/7189057, 7856837/5177717
10/197, 187/177, 7495773/7645373, 8342753/5545233
10/199, 189/179, 7729399/7880599, 8593019/5735339
11/2, 19/18, 1090, 1090/729
11/2, 149/80, 1090, 1595869/64000
11/9, 17/8, 2665/729, 2665/64
11/9, 53/65, 2665/729, 4961/274625
11/9, 109/13, 2665/729, 9126805/2197
11/23, 12, 551/12167, 12673
11/24, 13/2, 155/1728, 1860
11/24, 29/31, 155/1728, 16335/29791
11/24, 58/147, 155/1728, 781355/3176523
11/24, 89/31, 155/1728, 3705135/29791
11/25, 14/3, 2073/15625, 17275/27
11/26, 15/4, 382/2197, 2483/8
11/27, 16/5, 4195/19683, 22653/125
11/28, 17/6, 687/2744, 3206/27
11/29, 18/7, 6965/24389, 28855/343
11/30, 19/8, 1076/3375, 4035/64
11/31, 20/9, 10431/29791, 35929/729
11/32, 21/10, 1555/4096, 4976/125
11/34, 23/12, 2130/4913, 6035/216
11/35, 24/13, 19643/42875, 52885/2197
11/36, 25/14, 2807/5832, 7218/343
11/37, 26/15, 25485/50653, 62863/3375
11/38, 27/16, 3592/6859, 8531/512
11/39, 28/17, 32215/59319, 73905/4913
11/40, 29/18, 4491/8000, 9980/729
11/41, 30/19, 39881/68921, 86059/6859
11/42, 31/20, 5510/9261, 11571/1000
11/43, 32/21, 48531/79507, 99373/9261
11/45, 34/23, 58213/91125, 113895/12167
11/46, 35/24, 7932/12167, 15203/1728
11/47, 36/25, 68975/103823, 129673/15625
11/48, 37/26, 9347/13824, 17256/2197
11/49, 38/27, 80865/117649, 146755/19683
11/50, 39/28, 10906/15625, 19475/2744
11/51, 40/29, 93931/132651, 165189/24389
11/52, 41/30, 12615/17576, 21866/3375
11/53, 42/31, 108221/148877, 185023/29791
11/54, 43/32, 14480/19683, 24435/4096
11/56, 45/34, 16507/21952, 27188/4913
11/57, 46/35, 140665/185193, 229083/42875
11/58, 47/36, 18702/24389, 30131/5832
11/59, 48/37, 158915/205379, 253405/50653
11/60, 49/38, 21071/27000, 33270/6859
11/61, 50/39, 178581/226981, 279319/59319
11/62, 51/40, 23620/29791, 36611/8000
11/63, 52/41, 199711/250047, 306873/68921
11/64, 53/42, 26355/32768, 40160/9261
11/65, 54/43, 222353/274625, 336115/79507
11/67, 56/45, 246555/300763, 367093/91125
11/68, 57/46, 32407/39304, 47906/12167
11/69, 58/47, 272365/328509, 399855/103823
11/70, 59/48, 35736/42875, 52115/13824
11/71, 60/49, 299831/357911, 434449/117649
11/72, 61/50, 39275/46656, 56556/15625
11/73, 62/51, 329001/389017, 470923/132651
11/74, 63/52, 43030/50653, 61235/17576
11/75, 64/53, 359923/421875, 509325/148877
11/76, 65/54, 47007/54872, 66158/19683
11/78, 67/56, 51212/59319, 71331/21952
11/79, 68/57, 427215/493039, 592105/185193
11/80, 69/58, 55651/64000, 76760/24389
11/81, 70/59, 463681/531441, 636579/205379
11/82, 71/60, 60330/68921, 82451/27000
11/83, 72/61, 502091/571787, 683173/226981
11/84, 73/62, 65255/74088, 88410/29791
11/85, 74/63, 542493/614125, 731935/250047
11/86, 75/64, 70432/79507, 94643/32768
11/86, 157/172, 70432/79507, 266321/636056
11/87, 76/65, 584935/658503, 782913/274625
11/89, 78/67, 629465/704969, 836155/300763
11/90, 79/68, 81566/91125, 107955/39304
11/91, 80/69, 676131/753571, 891709/328509
11/92, 81/70, 87535/97336, 115046/42875
11/93, 82/71, 724981/804357, 949623/357911
11/94, 83/72, 93780/103823, 122435/46656
11/95, 84/73, 776063/857375, 1009945/389017
11/96, 85/74, 100307/110592, 130128/50653
11/97, 86/75, 829425/912673, 1072723/421875
11/98, 87/76, 107122/117649, 138131/54872
11/100, 89/78, 114231/125000, 146450/59319
11/101, 90/79, 943181/1030301, 1205839/493039
11/102, 91/80, 121640/132651, 155091/64000
11/103, 92/81, 1003671/1092727, 1276273/531441
11/104, 93/82, 129355/140608, 164060/68921
11/105, 94/83, 1066633/1157625, 1349355/571787
11/106, 95/84, 137382/148877, 173363/74088
11/107, 96/85, 1132115/1225043, 1425133/614125
11/108, 97/86, 145727/157464, 183006/79507
11/109, 98/87, 1200165/1295029, 1503655/658503
11/111, 100/89, 1270831/1367631, 1584969/704969
11/111, 110/111, 1270831/1367631, 1270831/1367631
11/111, 121/131, 1270831/1367631, 1076811/2248091
11/112, 101/90, 163395/175616, 203336/91125
11/113, 102/91, 1344161/1442897, 1669123/753571
11/114, 103/92, 172730/185193, 214035/97336
11/115, 104/93, 1420203/1520875, 1756165/804357
11/116, 105/94, 182407/195112, 225098/103823
11/117, 106/95, 1499005/1601613, 1846143/857375
11/118, 107/96, 192432/205379, 236531/110592
11/119, 108/97, 1580615/1685159, 1939105/912673
11/120, 109/98, 202811/216000, 248340/117649
11/122, 111/100, 213550/226981, 260531/125000
11/123, 112/101, 1752451/1860867, 2134173/1030301
11/124, 113/102, 224655/238328, 273110/132651
11/125, 114/103, 1842773/1953125, 2236375/1092727
11/126, 115/104, 236132/250047, 286083/140608
11/127, 116/105, 1936095/2048383, 2341753/1157625
11/128, 117/106, 247987/262144, 299456/148877
11/129, 118/107, 2032465/2146689, 2450355/1225043
11/130, 119/108, 260226/274625, 313235/157464
11/131, 120/109, 2131931/2248091, 2562229/1295029
11/133, 122/111, 2234541/2352637, 2677423/1367631
11/134, 123/112, 285880/300763, 342035/175616
11/135, 124/113, 2340343/2460375, 2795985/1442897
11/136, 125/114, 299307/314432, 357068/185193
11/137, 126/115, 2449385/2571353, 2917963/1520875
11/138, 127/116, 313142/328509, 372531/195112
11/139, 128/117, 2561715/2685619, 3043405/1601613
11/140, 129/118, 327391/343000, 388430/205379
11/141, 130/119, 2677381/2803221, 3172359/1685159
11/142, 131/120, 342060/357911, 404771/216000
11/144, 133/122, 357155/373248, 421560/226981
11/145, 134/123, 2918913/3048625, 3440995/1860867
11/146, 135/124, 372682/389017, 438803/238328
11/147, 136/125, 3044875/3176523, 3580773/1953125
11/148, 137/126, 388647/405224, 456506/250047
11/149, 138/127, 3174365/3307949, 3724255/2048383
11/150, 139/128, 405056/421875, 474675/262144
11/151, 140/129, 3307431/3442951, 3871489/2146689
11/152, 141/130, 421915/438976, 493316/274625
11/153, 142/131, 3444121/3581577, 4022523/2248091
11/155, 144/133, 3584483/3723875, 4177405/2352637
11/156, 145/134, 457007/474552, 532038/300763
11/157, 146/135, 3728565/3869893, 4336183/2460375
11/158, 147/136, 475252/493039, 552131/314432
11/159, 148/137, 3876415/4019679, 4498905/2571353
11/160, 149/138, 493971/512000, 572720/328509
11/161, 150/139, 4028081/4173281, 4665619/2685619
11/162, 151/140, 513170/531441, 593811/343000
11/163, 152/141, 4183611/4330747, 4836373/2803221
11/164, 153/142, 532855/551368, 615410/357911
11/166, 155/144, 553032/571787, 637523/373248
11/167, 156/145, 4506455/4657463, 5190193/3048625
11/168, 157/146, 573707/592704, 660156/389017
11/169, 158/147, 4673865/4826809, 5373355/3176523
11/170, 159/148, 594886/614125, 683315/405224
11/171, 160/149, 4845331/5000211, 5560749/3307949
11/172, 161/150, 616575/636056, 707006/421875
11/173, 162/151, 5020901/5177717, 5752423/3442951
11/174, 23/27, 638780/658503, 2755/19683
11/174, 26/57, 638780/658503, 17545/185193
11/174, 31/5, 638780/658503, 200013/125
11/174, 163/152, 638780/658503, 731235/438976
11/175, 164/153, 5200623/5359375, 5948425/3581577
11/177, 166/155, 5384545/5545233, 6148803/3723875
11/178, 167/156, 684762/704969, 781331/474552
11/179, 168/157, 5572715/5735339, 6353605/3869893
11/180, 169/158, 708551/729000, 807210/493039
11/181, 170/159, 5765181/5929741, 6562879/4019679
11/182, 171/160, 732880/753571, 833651/512000
11/183, 172/161, 5961991/6128487, 6776673/4173281
11/184, 173/162, 757755/778688, 860660/531441
11/185, 174/163, 6163193/6331625, 6995035/4330747
11/186, 175/164, 783182/804357, 888243/551368
11/188, 177/166, 809167/830584, 916406/571787
11/189, 178/167, 6578965/6751269, 7445655/4657463
11/190, 179/168, 835716/857375, 945155/592704
11/191, 180/169, 6793631/6967871, 7678009/4826809
11/192, 181/170, 862835/884736, 974496/614125
11/193, 182/171, 7012881/7189057, 7915123/5000211
11/194, 183/172, 890530/912673, 1004435/636056
11/195, 184/173, 7236763/7414875, 8157045/5177717
11/196, 185/174, 918807/941192, 1034978/658503
11/197, 186/175, 7465325/7645373, 8403823/5359375
11/199, 188/177, 7698615/7880599, 8655505/5545233
12/5, 147/169, 8189/125, 1023625/4826809
12/13, 16/19, 1045/2197, 715/6859
12/23, 74/125, -505/12167, -281083/1953125
12/25, 13, 649/15625, 16225
12/25, 54/49, 649/15625, 234289/117649
12/29, 12/169, 4805/24389, 4645945/4826809
12/29, 17/5, 4805/24389, 27869/125
12/29, 37/45, 4805/24389, 3509/91125
12/29, 157/145, 4805/24389, 5414929/3048625
12/31, 19/7, 7903/29791, 34999/343
12/35, 23/11, 16379/42875, 52115/1331
12/37, 25/13, 21853/50653, 62197/2197
12/37, 181/37, 21853/50653, 37791325/50653
12/41, 29/17, 35513/68921, 85649/4913
12/43, 31/19, 43795/79507, 99115/6859
12/47, 35/23, 63503/103823, 129767/12167
12/49, 37/25, 75025/117649, 147049/15625
12/53, 41/29, 101645/148877, 185765/24389
12/55, 43/31, 116839/166375, 207295/29791
12/59, 47/35, 151235/205379, 254939/42875
12/61, 49/37, 170533/226981, 281149/50653
12/65, 53/41, 213569/274625, 338585/68921
12/67, 55/43, 237403/300763, 369907/79507
12/71, 59/47, 289943/357911, 437999/103823
12/73, 61/49, 318745/389017, 474865/117649
12/77, 65/53, 381653/456533, 554477/148877
12/79, 67/55, 415855/493039, 597319/166375
12/83, 71/59, 489995/571787, 689315/205379
12/85, 73/61, 530029/614125, 738565/226981
12/89, 77/65, 616265/704969, 843809/274625
12/91, 79/67, 662563/753571, 899899/300763
12/95, 83/71, 761759/857375, 1019255/357911
12/97, 85/73, 814753/912673, 1082617/389017
12/101, 89/77, 927773/1030301, 1216949/456533
12/103, 91/79, 987895/1092727, 1288015/493039
12/107, 95/83, 1115603/1225043, 1438187/571787
12/109, 97/85, 1183285/1295029, 1517389/614125
12/113, 101/89, 1326545/1442897, 1684265/704969
12/115, 103/91, 1402219/1520875, 1772035/753571
12/119, 107/95, 1561895/1685159, 1956479/857375
12/121, 109/97, 1645993/1771561, 2053249/912673
12/125, 113/101, 1822949/1953125, 2256125/1030301
12/127, 115/103, 1915903/2048383, 2362327/1092727
12/131, 119/107, 2111003/2248091, 2584499/1225043
12/133, 121/109, 2213245/2352637, 2700565/1295029
12/133, 132/133, 2213245/2352637, 2213245/2352637
12/133, 144/155, 2213245/2352637, 1899107/3723875
12/137, 125/113, 2427353/2571353, 2942897/1442897
12/139, 127/115, 2539315/2685619, 3069259/1520875
12/143, 131/119, 2773295/2924207, 3332615/1685159
12/145, 133/121, 2895409/3048625, 3469705/1771561
12/149, 137/125, 3150125/3307949, 3754949/1953125
12/151, 139/127, 3282823/3442951, 3903199/2048383
12/155, 143/131, 3559139/3723875, 4211195/2248091
12/157, 145/133, 3702853/3869893, 4371037/2352637
12/161, 149/137, 4001633/4173281, 4702649/2571353
12/163, 151/139, 4156795/4330747, 4874515/2685619
12/167, 155/143, 4478903/4657463, 5230607/2924207
12/169, 17/5, 4645945/4826809, 27869/125
12/169, 37/45, 4645945/4826809, 3509/91125
12/169, 157/145, 4645945/4826809, 5414929/3048625
12/173, 161/149, 4992245/5177717, 5796365/3307949
12/175, 163/151, 5171599/5359375, 5993575/3442951
12/179, 167/155, 5542955/5735339, 6401219/3723875
12/181, 169/157, 5735053/5929741, 6611749/3869893
12/185, 173/161, 6132329/6331625, 7046465/4173281
12/187, 175/163, 6337603/6539203, 7270747/4330747
12/191, 179/167, 6761663/6967871, 7733399/4657463
12/193, 181/169, 6980545/7189057, 7971865/4826809
12/197, 185/173, 7432253/7645373, 8463317/5177717
12/199, 187/175, 7665175/7880599, 8716399/5359375
13, 54/49, 16225, 234289/117649
13/2, 29/31, 1860, 16335/29791
13/2, 58/147, 1860, 781355/3176523
13/2, 89/31, 1860, 3705135/29791
13/15, 41/49, 671/3375, 10065/117649
13/18, 45/58, -116/729, -1936/24389
13/22, 23/36, -190/1331, -1045/5832
13/22, 51/64, -190/1331, -1045/32768
13/27, 14, 755/19683, 20385
13/27, 49/125, 755/19683, 493317/1953125
13/27, 76/27, 755/19683, 2283875/19683
13/28, 15/2, 209/2744, 2926
13/29, 16/3, 2757/24389, 26651/27
13/30, 17/4, 502/3375, 3765/8
13/31, 18/5, 5455/29791, 33821/125
13/32, 19/6, 885/4096, 4720/27
13/33, 20/7, 8897/35937, 41943/343
13/34, 21/8, 1364/4913, 5797/64
13/35, 22/9, 13131/42875, 51065/729
13/36, 23/10, 1945/5832, 7002/125
13/37, 24/11, 18205/50653, 61235/1331
13/38, 25/12, 2634/6859, 8341/216
13/40, 27/14, 3437/8000, 9820/343
13/41, 28/15, 31065/68921, 84911/3375
13/42, 29/16, 4360/9261, 11445/512
13/43, 30/17, 38947/79507, 98513/4913
13/44, 31/18, 5409/10648, 13222/729
13/45, 32/19, 47861/91125, 113355/6859
13/46, 33/20, 6590/12167, 15157/1000
13/47, 34/21, 57855/103823, 129485/9261
13/48, 35/22, 7909/13824, 17256/1331
13/49, 36/23, 68977/117649, 146951/12167
13/50, 37/24, 9372/15625, 19525/1728
13/51, 38/25, 81275/132651, 165801/15625
13/53, 40/27, 94797/148877, 186083/19683
13/54, 41/28, 12754/19683, 24597/2744
13/55, 42/29, 109591/166375, 207845/24389
13/56, 43/30, 14685/21952, 27412/3375
13/57, 44/31, 125705/185193, 231135/29791
13/58, 45/32, 16784/24389, 30421/4096
13/59, 46/33, 143187/205379, 256001/35937
13/60, 47/34, 19057/27000, 33630/4913
13/61, 48/35, 162085/226981, 282491/42875
13/62, 49/36, 21510/29791, 37045/5832
13/63, 50/37, 182447/250047, 310653/50653
13/64, 51/38, 24149/32768, 40672/6859
13/66, 41/114, 26980/35937, 62480/185193
13/66, 53/40, 26980/35937, 44517/8000
13/66, 73/32, 26980/35937, 222585/4096
13/67, 54/41, 227755/300763, 372185/68921
13/68, 55/42, 30009/39304, 48586/9261
13/69, 56/43, 252797/328509, 405651/79507
13/70, 57/44, 33242/42875, 52885/10648
13/71, 58/45, 279495/357911, 440981/91125
13/72, 59/46, 36685/46656, 57420/12167
13/73, 60/47, 307897/389017, 478223/103823
13/74, 61/48, 40344/50653, 62197/13824
13/75, 62/49, 338051/421875, 517425/117649
13/76, 63/50, 44225/54872, 67222/15625
13/77, 64/51, 370005/456533, 558635/132651
13/79, 66/53, 403807/493039, 601901/148877
13/80, 67/54, 52677/64000, 78040/19683
13/81, 68/55, 439505/531441, 647271/166375
13/82, 69/56, 57260/68921, 83845/21952
13/83, 70/57, 477147/571787, 694793/185193
13/84, 71/58, 62089/74088, 89922/24389
13/85, 72/59, 516781/614125, 744515/205379
13/86, 73/60, 67170/79507, 96277/27000
13/87, 74/61, 558455/658503, 796485/226981
13/88, 75/62, 72509/85184, 102916/29791
13/89, 76/63, 602217/704969, 850751/250047
13/90, 77/64, 78112/91125, 109845/32768
13/92, 79/66, 83985/97336, 117070/35937
13/93, 80/67, 696197/804357, 966363/300763
13/94, 81/68, 90134/103823, 124597/39304
13/95, 82/69, 746511/857375, 1027805/328509
13/96, 83/70, 96565/110592, 132432/42875
13/97, 84/71, 799105/912673, 1091735/357911
13/98, 85/72, 103284/117649, 140581/46656
13/99, 86/73, 854027/970299, 1158201/389017
13/100, 87/74, 110297/125000, 149050/50653
13/101, 88/75, 911325/1030301, 1227251/421875
13/102, 89/76, 117610/132651, 157845/54872
13/103, 90/77, 971047/1092727, 1298933/456533
13/105, 92/79, 1033241/1157625, 1373295/493039
13/106, 93/80, 133160/148877, 176437/64000
13/107, 94/81, 1097955/1225043, 1450385/531441
13/108, 95/82, 141409/157464, 186246/68921
13/109, 96/83, 1165237/1295029, 1530251/571787
13/110, 97/84, 149982/166375, 196405/74088
13/111, 98/85, 1235135/1367631, 1612941/614125
13/112, 99/86, 158885/175616, 206920/79507
13/113, 100/87, 1307697/1442897, 1698503/658503
13/114, 101/88, 168124/185193, 217797/85184
13/115, 102/89, 1382971/1520875, 1786985/704969
13/116, 103/90, 177705/195112, 229042/91125
13/118, 105/92, 187634/205379, 240661/97336
13/119, 106/93, 1541847/1685159, 1972901/804357
13/120, 107/94, 197917/216000, 252660/103823
13/121, 108/95, 1625545/1771561, 2070431/857375
13/122, 109/96, 208560/226981, 265045/110592
13/123, 110/97, 1712147/1860867, 2171073/912673
13/124, 111/98, 219569/238328, 277822/117649
13/125, 112/99, 1801701/1953125, 2274875/970299
13/126, 113/100, 230950/250047, 290997/125000
13/127, 114/101, 1894255/2048383, 2381885/1030301
13/128, 115/102, 242709/262144, 304576/132651
13/129, 116/103, 1989857/2146689, 2492151/1092727
13/131, 118/105, 2088555/2248091, 2605721/1157625
13/132, 119/106, 267385/287496, 332970/148877
13/133, 120/107, 2190397/2352637, 2722643/1225043
13/134, 121/108, 280314/300763, 347797/157464
13/135, 122/109, 2295431/2460375, 2842965/1295029
13/136, 123/110, 293645/314432, 363052/166375
13/137, 124/111, 2403705/2571353, 2966735/1367631
13/138, 125/112, 307384/328509, 378741/175616
13/139, 126/113, 2515267/2685619, 3094001/1442897
13/140, 127/114, 321537/343000, 394870/185193
13/141, 128/115, 2630165/2803221, 3224811/1520875
13/142, 129/116, 336110/357911, 411445/195112
13/144, 131/118, 351109/373248, 428472/205379
13/145, 132/119, 2870161/3048625, 3497255/1685159
13/146, 133/120, 366540/389017, 445957/216000
13/147, 134/121, 2995355/3176523, 3638985/1771561
13/148, 135/122, 382409/405224, 463906/226981
13/149, 136/123, 3124077/3307949, 3784451/1860867
13/150, 137/124, 398722/421875, 482325/238328
13/151, 138/125, 3256375/3442951, 3933701/1953125
13/152, 139/126, 415485/438976, 501220/250047
13/153, 140/127, 3392297/3581577, 4086783/2048383
13/154, 141/128, 432704/456533, 520597/262144
13/155, 142/129, 3531891/3723875, 4243745/2146689
13/157, 144/131, 3675205/3869893, 4404635/2248091
13/157, 156/157, 3675205/3869893, 3675205/3869893
13/157, 169/181, 3675205/3869893, 3187885/5929741
13/158, 145/132, 468534/493039, 560821/287496
13/159, 146/133, 3822287/4019679, 4569501/2352637
13/160, 147/134, 487157/512000, 581680/300763
13/161, 148/135, 3973185/4173281, 4738391/2460375
13/162, 149/136, 506260/531441, 603045/314432
13/163, 150/137, 4127947/4330747, 4911353/2571353
13/164, 151/138, 525849/551368, 624922/328509
13/165, 152/139, 4286621/4492125, 5088435/2685619
13/166, 153/140, 545930/571787, 647317/343000
13/167, 154/141, 4449255/4657463, 5269685/2803221
13/168, 155/142, 566509/592704, 670236/357911
13/170, 157/144, 587592/614125, 693685/373248
13/171, 158/145, 4786595/5000211, 5644881/3048625
13/172, 159/146, 609185/636056, 717670/389017
13/173, 160/147, 4961397/5177717, 5838923/3176523
13/174, 161/148, 631294/658503, 742197/405224
13/175, 162/149, 5140351/5359375, 6037325/3307949
13/176, 163/150, 653925/681472, 767272/421875
13/177, 164/151, 5323505/5545233, 6240135/3442951
13/178, 165/152, 677084/704969, 792901/438976
13/179, 166/153, 5510907/5735339, 6447401/3581577
13/180, 167/154, 700777/729000, 819090/456533
13/181, 168/155, 5702605/5929741, 6659171/3723875
13/183, 170/157, 5898647/6128487, 6875493/3869893
13/184, 171/158, 749789/778688, 873172/493039
13/185, 172/159, 6099081/6331625, 7096415/4019679
13/186, 173/160, 775120/804357, 901077/512000
13/187, 174/161, 6303955/6539203, 7321985/4173281
13/188, 175/162, 801009/830584, 929566/531441
13/189, 176/163, 6513317/6751269, 7552251/4330747
13/190, 177/164, 827462/857375, 958645/551368
13/191, 178/165, 6727215/6967871, 7787261/4492125
13/192, 179/166, 854485/884736, 988320/571787
13/193, 180/167, 6945697/7189057, 8027063/4657463
13/194, 181/168, 882084/912673, 1018597/592704
13/196, 183/170, 910265/941192, 1049482/614125
13/197, 184/171, 7396605/7645373, 8521235/5000211
13/198, 185/172, 939034/970299, 1080981/636056
13/199, 186/173, 7629127/7880599, 8775701/5177717
14, 49/125, 20385, 493317/1953125
14, 76/27, 20385, 2283875/19683
14/9, 18/11, 8569/729, 19475/1331
14/9, 105/128, 8569/729, 8569/262144
14/29, 15, 869/24389, 25201
14/31, 17/3, 3135/29791, 32395/27
14/31, 71/169, 3135/29791, 874665/4826809
14/31, 98/27, 3135/29791, 5474755/19683
14/33, 19/5, 6145/35937, 40557/125
14/37, 23/9, 14589/50653, 59977/729
14/39, 25/11, 20119/59319, 71331/1331
14/39, 35/39, 20119/59319, 20119/59319
14/39, 49/59, 20119/59319, 13299/205379
14/41, 27/13, 26585/68921, 83845/2197
14/43, 29/15, 34035/79507, 97567/3375
14/45, 31/17, 42517/91125, 112545/4913
14/47, 33/19, 52079/103823, 128827/6859
14/51, 37/23, 74635/132651, 165495/12167
14/53, 39/25, 87725/148877, 185977/15625
14/55, 41/27, 102087/166375, 207955/19683
14/57, 43/29, 117769/185193, 231477/24389
14/59, 45/31, 134819/205379, 256591/29791
14/61, 47/33, 153285/226981, 283345/35937
14/65, 51/37, 194657/274625, 341965/50653
14/67, 53/39, 217659/300763, 373927/59319
14/69, 55/41, 242269/328509, 407721/68921
14/71, 57/43, 268535/357911, 443395/79507
14/73, 59/45, 296505/389017, 480997/91125
